Timestamp,Participant ID,"Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [The quality of the output I get from the system is high.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Assuming I have access to the system, I intend to use it.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [In my job, usage of the system is important.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [My interaction with the system is clear and understandable.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I find the system to be easy to use.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Using the system improves my performance in my job.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Using the system enhances my effectiveness in my job.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Please check ""4 (somewhat agree)"" for this question.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I have no problem with the quality of the system’s output.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Please check ""1 (strongly disagree)"" for this question.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Interacting with the system does not require a lot of my mental effort.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I find it easy to get the system to do what I want it to do.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [In my job, usage of the system is relevant.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Using the system in my job increases my productivity.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I find the system to be useful in my job.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Given that I have access to the system, I predict that I would use it.]",What subject have you prepared with the tool?,When do you expect to teach the lesson?
2025/03/05 11:54:11 AM GMT+3,07-5964,4,5,5,5,4,4,5,4,5,4,4,4,5,5,4,5,Biology,2025-03-05
2025/03/05 12:01:04 PM GMT+3,01-5280,3,5,4,4,4,4,4,4,4,3,5,5,4,5,4,3,Information and Communication Technology,2025-03-07
2025/03/05 12:03:57 PM GMT+3,01-1075,4,5,5,5,5,5,4,4,4,1,4,5,5,4,5,5,Information and Communication Technology,2025-03-19
2025/03/05 12:05:02 PM GMT+3,01-6742,4,5,5,4,5,5,5,5,4,4,5,4,5,5,5,5,physics,2025-03-12
2025/03/05 2:54:36 PM GMT+3,024106,4,4,4,4,4,4,4,4,4,1,4,2,3,2,4,5,Mathematics,2025-03-05
2025/03/05 3:00:53 PM GMT+3,02-7639,3,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,English,2025-03-10
2025/03/05 3:08:57 PM GMT+3,02-5947,4,3,5,5,3,4,4,4,4,4,5,4,4,4,4,4,Chemistry,2025-03-07
2025/03/05 4:51:10 PM GMT+3,042985,3,5,4,5,5,5,4,3,4,3,5,5,5,5,5,3,Biology,2025-03-11
2025/03/05 4:52:06 PM GMT+3,047652,3,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,English,2025-03-17
2025/03/05 4:52:13 PM GMT+3,04-6190,4,5,4,5,5,4,5,4,3,1,5,5,4,5,5,5,English,2025-03-10
2025/03/06 11:52:13 AM GMT+3,06-6636,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,Mathematics,2025-03-10
2025/03/06 11:53:07 AM GMT+3,06-6481,3,5,4,4,5,5,5,4,1,3,3,5,5,5,5,5,Chemistry,2025-03-10
2025/03/06 11:55:27 AM GMT+3,06-5235,4,5,5,5,5,5,5,4,4,1,5,5,5,5,5,5,Information and Communication Technology,2025-03-07
2025/03/06 11:56:03 AM GMT+3,06-6636,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,Mathematics,2025-03-10
2025/03/06 11:56:47 AM GMT+3,06-8651,4,5,5,5,5,5,5,5,2,5,3,3,3,3,3,3,Biology,2025-03-10
2025/03/06 11:57:03 AM GMT+3,06-7178,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,kiswahili,2025-03-10
2025/03/06 11:57:20 AM GMT+3,06-8548,5,5,5,5,5,5,5,3,4,1,5,5,5,5,5,5,English,2025-03-13
2025/03/06 11:57:46 AM GMT+3,05-4917,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,English,2025-03-07
2025/03/06 11:58:26 AM GMT+3,06-4618,4,5,5,5,5,5,5,4,2,1,1,4,5,5,5,5,Biology,2025-03-27
2025/03/06 11:58:32 AM GMT+3,05-5636,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Geography ,2025-03-13
2025/03/06 11:58:48 AM GMT+3,05-7651,4,4,5,5,5,5,5,5,3,3,4,4,4,4,5,4,English,2025-03-07
2025/03/06 11:58:56 AM GMT+3,05-2984,2,5,5,1,5,5,5,4,5,1,5,4,5,5,5,5,English,0025-03-07
