Timestamp,Participant ID,"Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I can adapt my teaching better based on what students currently understand or do not understand.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [The conditions of my life are excellent.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, my knowledge about the subject matter increased.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Please check ""4 (somewhat agree)"" for this question.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [In most ways my life is close to my ideal.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I have more ways of how I can assess student learning.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [The system raised the quality of my lesson plan.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [If available, I would use the system more often for lesson planning.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I feel that I have more ways and strategies to developing my understanding on the subject matter.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I feel more familiar with students’ common understandings and misconceptions.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I think I am already quite proficient in teaching a competence-based curriculum.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I am satisfied with my life.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, a can use a wider range of teaching approaches in a classroom setting.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I have quite some experiences in learning-centered approach of teaching.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [If I could live my life over, I would change almost nothing.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I can adapt my teaching style better to different learners.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [The system raised the quality of my in-class teaching.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I know better how to assess student’s performance in a classroom.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Overall, I found the system a helpful tool for lesson planning.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I know better how to organize and maintain classroom management.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I feel more prepared to apply the subject matter.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Please check ""1 (strongly disagree)"" for this question.]",Anything you want to tell us?
2025/04/13 11:33:59 AM GMT+3,12-9996,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,5,1,
2025/11/24 11:16:16 AM GMT+3,003,4,3,3,4,3,4,3,3,4,4,5,4,5,4,2,4,3,3,5,3,5,1,I think to it is a good innovation which can help teachers
2025/11/24 11:35:38 AM GMT+3,002,5,5,5,4,4,4,5,5,5,4,4,4,5,5,1,5,5,4,5,5,5,1,The system is quite good and time saving and student involving that if given time a lot can be improved. Please keep going.
2025/11/24 11:51:02 AM GMT+3,004,2,2,1,4,2,1,1,1,1,2,4,2,1,1,2,1,1,2,1,2,1,1,"This system is relevant and applicable, and every teacher should have it. After this system, I would also like a scheme of work or record of work."
2025/11/24 12:00:29 PM GMT+3,003,4,3,3,4,3,4,3,3,4,4,4,4,5,4,2,4,3,3,5,3,5,1,I think to it is a good innovation which can help teachers. It should be integrated Scheming and download a pdf
2025/11/24 12:24:21 PM GMT+3,007,2,3,1,4,3,2,3,5,2,3,4,3,3,3,3,3,3,2,3,3,3,1,It would be better if the learning out comes and the topics could simply be selected by clicking once they are displayed so that we do not have to type them. If an app could be developed so that we do not have to use a website.
2025/11/24 12:32:21 PM GMT+3,005,5,4,4,4,5,4,3,5,4,3,4,4,5,4,4,5,3,4,4,3,4,1,The system is very good. How I wish the system is improved in the way that even the topics and learners' outcomes can also be selected for simplicity and time management.
2025/11/24 12:43:15 PM GMT+3,08-8561,4,4,5,4,4,4,4,3,5,5,4,2,5,4,1,5,4,4,5,5,5,1,It saves time to both learners and teachers. Continuous follow-up for the best of the new program.
2025/11/24 12:55:14 PM GMT+3,2740,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4,5,4,4,4,5,4,1,"It is good. 

It should be used to generate lesson plans in other classes also say S.2, S.3 and S.4 class.
If possible, it should also be applied in A' level.
It's generally good tool to use in teaching and learning process."
2025/11/24 1:09:04 PM GMT+3,2830,5,3,3,4,5,4,5,5,5,4,4,3,4,3,4,4,5,5,5,5,5,1,Great innovation
2025/11/24 1:23:45 PM GMT+3,2824,3,3,4,4,4,3,3,5,3,2,4,3,4,3,3,5,3,3,5,3,5,1,"Great innovation especially at the time when the teacher is required to do much.
Mind some language errors. it's ""too"" not ""to"" difficult.
How does one download the clear generated copy for printing or otherwise add a print button.
Any hopes of accessing it offline?"
2025/11/24 1:44:10 PM GMT+3,2835,5,4,5,4,3,3,4,5,5,3,4,3,5,4,3,3,4,4,5,3,5,1,"Great job!!
The App will be helpful if all subjects are included. It is not hard to use though and it is great innovation that will ease the work of the teachers as it is difficult for teachers to draft lesson plans. Thank you for the work well done."
2025/11/24 1:53:49 PM GMT+3,2822,5,4,5,4,4,5,5,5,5,5,4,4,5,4,1,5,5,4,5,5,5,1,"It is a very helpful tool as it saves time while making a lesson plan.
More of these lessons are welcome to make our teaching job simple and enjoyable.
Need to give some lessons to the students to appreciate the use of technology."
2025/11/25 12:46:19 PM GMT+3,2821,5,4,5,4,4,5,4,5,5,5,4,4,5,4,1,5,4,4,5,5,5,1,"It has made life simpler while making a lesson plan especially when it comes to teachers with various classes.
It is helpful however it should be free i.e. data free because most people especially in remote areas will find it useful but may fail to access it."
